GKÇ FİDER ID;GKÇ TRAFO MERKEZİ ADI;FİDER ADI;İLİ;BÖLGE MÜDÜRLÜĞÜ;GERİLİM;ÖLÇÜM MODU;AÇIKLAMA;EŞLİ;AKTİF;GÜNCELLEYEN KULLANICI;GÜNCELLENME ZAMANI
396;KARATAY;154 kV BANK A;KONYA;9. Bölge Müdürlüğü;154;PQ;;false;false;YÜK TEVZİ BİLGİ SİSTEMİ;01.02.2022 12:20
397;KARATAY;154 kV BANK B;KONYA;9. Bölge Müdürlüğü;154;PQ;;false;false;YÜK TEVZİ BİLGİ SİSTEMİ;01.02.2022 12:20
2607;KARATAY;154 kV KAPASİTÖR ;KONYA;9. Bölge Müdürlüğü;154;PQ;;false;false;YÜK TEVZİ BİLGİ SİSTEMİ;15.07.2024 00:44
2608;KARATAY;154 kV KAPASİTÖR NÖTR BARA;KONYA;9. Bölge Müdürlüğü;154;PQ;;false;false;YÜK TEVZİ BİLGİ SİSTEMİ;15.07.2024 00:44
399;KARATAY;33 kV TRANSFORMATÖR B;KONYA;9. Bölge Müdürlüğü;33;PQ;;true;true;YÜK TEVZİ BİLGİ SİSTEMİ;01.02.2022 12:20
398;KARATAY;400 kV KONYA KUZEY;KONYA;9. Bölge Müdürlüğü;380;PQ;;true;false;YÜK TEVZİ BİLGİ SİSTEMİ;27.06.2022 00:44
1698;KAYACIK;33 kV ORGANİZE SANAYİ 1 (YENİ);KONYA;9. Bölge Müdürlüğü;33;PQ;;true;true;YÜK TEVZİ BİLGİ SİSTEMİ;05.01.2026 00:44
1699;KAYACIK;33 kV ORGANİZE SANAYİ 2 (YENİ);KONYA;9. Bölge Müdürlüğü;33;PQ;;true;true;YÜK TEVZİ BİLGİ SİSTEMİ;12.01.2026 00:44
1700;KAYACIK;33 kV ORGANİZE SANAYİ 3 ;KONYA;9. Bölge Müdürlüğü;33;PQ;;true;true;YÜK TEVZİ BİLGİ SİSTEMİ;01.02.2022 12:20
1701;KAYACIK;33 kV ORGANİZE SANAYİ 4;KONYA;9. Bölge Müdürlüğü;33;PQ;;true;true;YÜK TEVZİ BİLGİ SİSTEMİ;04.07.2022 00:44
1702;KAYACIK;33 kV ORGANİZE SANAYİ 5;KONYA;9. Bölge Müdürlüğü;33;PQ;;true;true;YÜK TEVZİ BİLGİ SİSTEMİ;04.07.2022 00:44
1703;KAYACIK;33 kV ORGANİZE SANAYİ 6;KONYA;9. Bölge Müdürlüğü;33;PQ;;true;true;YÜK TEVZİ BİLGİ SİSTEMİ;05.09.2022 00:44
1308;KAYSERİ 2;33 kV MİMAR SİNAN OSB 1;KAYSERİ;11. Bölge Müdürlüğü;33;PQ;;true;true;YÜK TEVZİ BİLGİ SİSTEMİ;04.07.2022 00:44
1309;KAYSERİ 2;33 kV MİMAR SİNAN OSB 2;KAYSERİ;11. Bölge Müdürlüğü;33;PQ;;true;true;YÜK TEVZİ BİLGİ SİSTEMİ;04.07.2022 00:44
1356;KAYSERİ 3;33 kV DM 5-1;KAYSERİ;11. Bölge Müdürlüğü;33;PQ;;true;true;YÜK TEVZİ BİLGİ SİSTEMİ;11.11.2024 00:44
1357;KAYSERİ 3;33 kV DM 5-2;KAYSERİ;11. Bölge Müdürlüğü;33;PQ;;true;true;YÜK TEVZİ BİLGİ SİSTEMİ;11.11.2024 00:44
1355;KAYSERİ 3;33 kV ERCİYES 13-1;KAYSERİ;11. Bölge Müdürlüğü;33;PQ;;true;true;YÜK TEVZİ BİLGİ SİSTEMİ;11.11.2024 00:44
1354;KAYSERİ 3;33 kV ERCİYES 13-2;KAYSERİ;11. Bölge Müdürlüğü;33;PQ;;true;true;YÜK TEVZİ BİLGİ SİSTEMİ;11.11.2024 00:44
1351;KAYSERİ 3;33 kV TRANSFORMATÖR A;KAYSERİ;11. Bölge Müdürlüğü;33;PQ;;true;true;YÜK TEVZİ BİLGİ SİSTEMİ;04.07.2022 00:44
1352;KAYSERİ 3;33 kV TRANSFORMATÖR B;KAYSERİ;11. Bölge Müdürlüğü;33;PQ;;true;true;YÜK TEVZİ BİLGİ SİSTEMİ;04.07.2022 00:44
1353;KAYSERİ 3;33 kV TRANSFORMATÖR C;KAYSERİ;11. Bölge Müdürlüğü;33;PQ;;true;true;YÜK TEVZİ BİLGİ SİSTEMİ;01.02.2022 12:20
1360;KAYSERİ 4;33 kV TRANSFORMATÖR A;KAYSERİ;11. Bölge Müdürlüğü;33;PQ;;true;true;YÜK TEVZİ BİLGİ SİSTEMİ;01.02.2022 12:20
1361;KAYSERİ 4;33 kV TRANSFORMATÖR B;KAYSERİ;11. Bölge Müdürlüğü;33;PQ;;true;true;YÜK TEVZİ BİLGİ SİSTEMİ;01.02.2022 12:20
713;KAYSERİ KAPASİTÖR;154 kV BANK A;KAYSERİ;11. Bölge Müdürlüğü;154;PQ;;false;false;YÜK TEVZİ BİLGİ SİSTEMİ;01.02.2022 12:20
714;KAYSERİ KAPASİTÖR;154 kV BANK B;KAYSERİ;11. Bölge Müdürlüğü;154;PQ;;false;false;YÜK TEVZİ BİLGİ SİSTEMİ;01.02.2022 12:20
715;KAYSERİ KAPASİTÖR;33 kV TRANSFORMATÖR A;KAYSERİ;11. Bölge Müdürlüğü;33;PQ;;false;false;YÜK TEVZİ BİLGİ SİSTEMİ;04.07.2022 00:44
708;KAYSERİ KAPASİTÖR;400 kV ELBİSTAN TES;KAYSERİ;11. Bölge Müdürlüğü;380;PQ;;false;false;YÜK TEVZİ BİLGİ SİSTEMİ;11.07.2022 00:44
712;KAYSERİ KAPASİTÖR;400 kV GÖLBAŞI GÜNEY;KAYSERİ;11. Bölge Müdürlüğü;380;PQ;;false;false;YÜK TEVZİ BİLGİ SİSTEMİ;06.03.2023 00:44
711;KAYSERİ KAPASİTÖR;400 kV GÖLBAŞI KUZEY;KAYSERİ;11. Bölge Müdürlüğü;380;PQ;;false;false;YÜK TEVZİ BİLGİ SİSTEMİ;06.03.2023 00:44
710;KAYSERİ KAPASİTÖR;400 kV KEBAN ŞALT GÜNEY;KAYSERİ;11. Bölge Müdürlüğü;380;PQ;;false;false;YÜK TEVZİ BİLGİ SİSTEMİ;04.08.2025 00:44
709;KAYSERİ KAPASİTÖR;400 kV KEBAN ŞALT KUZEY;KAYSERİ;11. Bölge Müdürlüğü;380;PQ;;false;false;YÜK TEVZİ BİLGİ SİSTEMİ;04.08.2025 00:44
766;KAZAN;154 kV TRANSFORMATÖR A;ANKARA;8. Bölge Müdürlüğü;154;PQ;;true;true;YÜK TEVZİ BİLGİ SİSTEMİ;01.02.2022 12:20
768;KAZAN;154 kV TRANSFORMATÖR B;ANKARA;8. Bölge Müdürlüğü;154;PQ;;true;true;YÜK TEVZİ BİLGİ SİSTEMİ;01.02.2022 12:20
767;KAZAN;33 kV TRANSFORMATÖR A;ANKARA;8. Bölge Müdürlüğü;33;PQ;;false;false;YÜK TEVZİ BİLGİ SİSTEMİ;01.02.2022 12:20
769;KAZAN;33 kV TRANSFORMATÖR B;ANKARA;8. Bölge Müdürlüğü;33;PQ;;false;false;YÜK TEVZİ BİLGİ SİSTEMİ;01.02.2022 12:20
1810;KAZAN DGKÇS;154 kV TRANSFORMATÖR ;ANKARA;8. Bölge Müdürlüğü;154;PQ;;false;false;YÜK TEVZİ BİLGİ SİSTEMİ;01.02.2022 12:20
1812;KAZAN DGKÇS;154 kV TRANSFORMATÖR GRUP 1;ANKARA;8. Bölge Müdürlüğü;154;PQ;;false;false;YÜK TEVZİ BİLGİ SİSTEMİ;01.02.2022 12:20
1811;KAZAN DGKÇS;154 kV TRANSFORMATÖR GRUP 2;ANKARA;8. Bölge Müdürlüğü;154;PQ;;false;false;YÜK TEVZİ BİLGİ SİSTEMİ;01.02.2022 12:20
1804;KAZAN DGKÇS;154 kV TRANSFORMATÖR PROSES-1;ANKARA;8. Bölge Müdürlüğü;154;PQ;;false;false;YÜK TEVZİ BİLGİ SİSTEMİ;01.02.2022 12:20
1805;KAZAN DGKÇS;154 kV TRANSFORMATÖR PROSES-2;ANKARA;8. Bölge Müdürlüğü;154;PQ;;false;false;YÜK TEVZİ BİLGİ SİSTEMİ;01.02.2022 12:20
1806;KAZAN DGKÇS;154 kV TRANSFORMATÖR PROSES-3;ANKARA;8. Bölge Müdürlüğü;154;PQ;;false;false;YÜK TEVZİ BİLGİ SİSTEMİ;01.02.2022 12:20
1807;KAZAN DGKÇS;154 kV TRANSFORMATÖR PROSES-4;ANKARA;8. Bölge Müdürlüğü;154;PQ;;false;false;YÜK TEVZİ BİLGİ SİSTEMİ;01.02.2022 12:20
1808;KAZAN DGKÇS;154 kV TRANSFORMATÖR PROSES-5;ANKARA;8. Bölge Müdürlüğü;154;PQ;;false;false;YÜK TEVZİ BİLGİ SİSTEMİ;01.02.2022 12:20
1809;KAZAN DGKÇS;154 kV TRANSFORMATÖR PROSES-6;ANKARA;8. Bölge Müdürlüğü;154;PQ;;false;false;YÜK TEVZİ BİLGİ SİSTEMİ;01.02.2022 12:20
1422;KEPEZKAYA HAVZA;33 kV DAMLAPINAR-1;KARAMAN;9. Bölge Müdürlüğü;33;PQ;;true;true;YÜK TEVZİ BİLGİ SİSTEMİ;01.02.2022 12:20
1423;KEPEZKAYA HAVZA;33 kV DAMLAPINAR-2;KARAMAN;9. Bölge Müdürlüğü;33;PQ;;true;true;YÜK TEVZİ BİLGİ SİSTEMİ;01.02.2022 12:20
